x,y,existing_z_m,design_z_m,cut_fill_m,field_zone
1003.865,956.526,120.47077001066079,106.32758642986417,14.143183580796617,Heavy Cut > 2.0 m
1004.865,956.526,121.01383198153849,106.43955933147814,14.574272650060351,Heavy Cut > 2.0 m
1005.865,956.526,120.48683071537667,106.49650978936582,13.990320926010853,Heavy Cut > 2.0 m
1006.865,956.526,119.9645624538907,106.5243265045172,13.440235949373488,Heavy Cut > 2.0 m
1007.865,956.526,119.49871665166197,106.5410760515694,12.95764060009256,Heavy Cut > 2.0 m
1008.865,956.526,119.03783053470163,106.55928050192858,12.478550032773043,Heavy Cut > 2.0 m
1009.865,956.526,118.58342020798626,106.58285291882785,12.000567289158411,Heavy Cut > 2.0 m
1010.865,956.526,118.1290098812709,106.60733073902674,11.521679142244167,Heavy Cut > 2.0 m
1011.865,956.526,117.67585990519254,106.62345052913068,11.05240937606186,Heavy Cut > 2.0 m
1012.865,956.526,117.29021005029648,106.62215693876635,10.668053111530128,Heavy Cut > 2.0 m
1013.865,956.526,116.90456019540042,106.59749139363959,10.307068801760835,Heavy Cut > 2.0 m
1014.865,956.526,116.55170497744642,106.55588817907781,9.995816798368608,Heavy Cut > 2.0 m
1015.865,956.526,116.20965721772328,106.51272726732904,9.696929950394235,Heavy Cut > 2.0 m
1016.865,956.526,115.86760945800015,106.46832172070924,9.399287737290905,Heavy Cut > 2.0 m
1017.865,956.526,115.63383044555874,106.4080217512129,9.225808694345844,Heavy Cut > 2.0 m
1018.865,956.526,115.44351071898335,106.32007250696311,9.123438212020233,Heavy Cut > 2.0 m
1019.865,956.526,115.17631716220993,106.21566350406886,8.96065365814107,Heavy Cut > 2.0 m
1020.865,956.526,114.91471089131058,106.12558653444063,8.789124356869948,Heavy Cut > 2.0 m
1021.865,956.526,114.678856952174,106.06343822962441,8.615418722549592,Heavy Cut > 2.0 m
1022.865,956.526,114.40709060435861,106.00990877620404,8.397181828154572,Heavy Cut > 2.0 m
1023.865,956.526,114.1853992894739,105.88816463355928,8.297234655914622,Heavy Cut > 2.0 m
1024.865,956.526,113.97931093232758,105.54560410082371,8.43370683150387,Heavy Cut > 2.0 m
1025.865,956.526,113.77322257518125,104.91145858310827,8.86176399207298,Heavy Cut > 2.0 m
1026.865,956.526,112.513,104.22135103248226,8.291648967517744,Heavy Cut > 2.0 m
1027.865,956.526,111.857,103.7998186899799,8.057181310020098,Heavy Cut > 2.0 m
1028.865,956.526,111.857,103.66349799911427,8.19350200088573,Heavy Cut > 2.0 m
1029.865,956.526,111.857,103.64537821503323,8.211621784966766,Heavy Cut > 2.0 m
1030.865,956.526,111.857,103.64778645245244,8.209213547547563,Heavy Cut > 2.0 m
1031.865,956.526,111.857,103.64582881454648,8.211171185453523,Heavy Cut > 2.0 m
1032.865,956.526,111.857,103.63395259413488,8.223047405865117,Heavy Cut > 2.0 m
